ID відповіді,Чи повністю заповнене,Остання сторінка,Дата початку,Дата останньої дії,Чи згодні Ви взяти участь в опитуванні?,Чи виповнилося Вам 18 років?,"Чи брали Ви участь хоча б один раз у протестах, що почалися 16 липня після того, як Михайла Федорова не було повторно призначено міністром оборони?",Ваша стать:,Скільки Вам повних років?,В якій області Ви зараз проживаєте?,Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у школі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у ПТУ/коледжі/училищі],Що найкраще описує рід Вашої діяльності зараз? [Навчаюсь у закладі вищої освіти (студент/курсант/аспірант)],Що найкраще описує рід Вашої діяльності зараз? [Перебуваю у ЗСУ],Що найкраще описує рід Вашої діяльності зараз? [Працюю],Що найкраще описує рід Вашої діяльності зараз? [У декреті або піклуюсь про дитину/інших осіб],Що найкраще описує рід Вашої діяльності зараз? [На пенсії],"Що найкраще описує рід Вашої діяльності зараз? [Не працюю (не маю оплачуваної роботи, не в декреті, не на пенсії, не навчаюсь)]",Що найкраще описує рід Вашої діяльності зараз? [Інше],У якому місті (яких містах) Ви виходили на протест?,Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Мене покликали родичі/друзі/знайомі],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) дописи або повідомлення від людей, яких я знаю особисто, у соцмережах]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Побачив(-ла) заклик від медіа, блогерів або в тематичних протестних спільнотах, на які я підписаний(-а)]","Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приєднався(-лась) до організованої групи, до якої належу (студентська спільнота, громадська організація тощо)]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Опинився(-лась) поруч і вирішив(-ла) приєднатися],"Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Приклад родичів/друзів/знайомих, які виходили раніше]",Які з цих обставин найбільше посприяли Вашому рішенню вийти на мітинг? [Інше],"Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [З груп/каналів/чатів у соцмережах/месенджерах, присвячених протесту]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Випадково натрапив(-ла) на інформацію у стрічці соцмереж або в месенджерах]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Через новини (новинні сайти, ТБ, друковані медіа, YouTube-канали медіа, новинні Telegram канали тощо)]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Від знайомих/друзів/членів сім’ї/колег]","Звідки Ви, головним чином, дізнавались про дату, час і місце зібрань? [Інше]",Як би Ви сформулювали мету своєї участі в цих зібраннях?,"Чи виходили Ви на протести після того, як Михайло Драпатий замінив Олександра Сирського на посаді головнокомандувача ЗСУ?",А чи плануєте Ви у найближчий тиждень виходити на протести?,"Якщо Михайла Федорова призначать міністром оборони, чи продовжите Ви виходити на протести у найближчий тиждень після цього?","Припустимо, міністром оборони стане не Федоров, а інша людина, яка публічно зобов'яжеться продовжувати розпочаті ним реформи. Чи продовжите Ви виходити на протести у найближчий тиждень після цього?",Наскільки Ви довіряєте... [Володимиру Зеленському],Наскільки Ви довіряєте... [Михайлу Федорову],Наскільки Ви довіряєте... [Олександру Сирському],Наскільки Ви довіряєте... [Михайлу Драпатому],Наскільки Ви довіряєте... [Ігорю Клименку],Наскільки Ви довіряєте... [Євгенію Хмарі],Яким українським політичним діячам Ви довіряєте найбільше?,"У політиці люди часто говорять про ""лівих"" та ""правих"". Де б Ви розташували себе на цій шкалі, якщо 0 означає ""Ліві"", а 10 означає ""Праві""?","Наскільки Ви погоджуєтесь або не погоджуєтесь із твердженням: ""Слухняність і повага до влади – це найважливіші цінності, які повинні засвоїти діти""?","Наскільки для Вас прийнятно, щоб в Україні був сильний лідер, який стоїть над законом?","Чи брали Ви участь в акціях протесту проти закону №12414, котрий обмежував повноваження НАБУ та САП, хоча б один раз протягом 22-31 липня 2025 року?"
217,Так,10,2026-08-03 15:02:44,2026-08-03 15:10:04,Так,Так,Так,Жіноча,23,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Щоб не ігнорували народ,Так,Скоріше так,Скоріше ні,Скоріше так,2,5,1 - Зовсім не довіряю,5,3,4,"Федоров, Стерненко",Важко сказати,Не погоджуюсь,5,Так
218,Так,10,2026-08-03 15:25:04,2026-08-03 15:28:35,Так,Так,Так,Чоловіча,19,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,київ,Так,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Так,,"Повернути ефективну систему керування, яка працювала",Так,Безумовно так,Точно ні,Точно ні,3,5,2,5,1 - Зовсім не довіряю,3,"Федоров, Драпатий",8,Зовсім не погоджуюсь,3,Ні
219,Так,10,2026-08-03 15:27:00,2026-08-03 15:35:50,Так,Так,Так,Жіноча,26,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,"Київ, Одеса",Ні,Ні,Ні,Ні,Ні,Ні,"Я збиралась вийти сама в будь-якому випадку, коли побачила новини. Але пошукавши в соцмережах і знайшовши пост Дмитра, доєдналась до вже організованого протесту",Так,Так,Так,Так,З твітеру Дмитра Козинського та моїх м'ю,"Система не має працювати проти мене та мого суспільства. Ми маємо нищити русню з максимальним рівнем ефективності та налагодженим процесом без непрозорості, хабарів, некомпетентності та іншого. Технологіями, а не людьми",Так,Безумовно так,Безумовно так,Безумовно так,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,5,"Федоров, Драпатий, Буданов, Хмара, Інна Совсун",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
220,Так,10,2026-08-03 15:42:32,2026-08-03 15:52:52,Так,Так,Так,Жіноча,37,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Ні,Ні,Ні,Ні,побачила новини про зміну уряду і слідкувала зо ходом подій,Так,Ні,Ні,Ні,,"Загальне обурення від рішень уряду та Президента, які накопичувались вже дуже давно. Несподіване звільнення уряду + не призначення стали останньої краплею. 
Чому ЇМ бабло, а нам - важка зима. 

2. за два тижні до відставки уряду і непризначення надійшов перший транш з 60 млрд на оборонні закупівлі з кредиту ЄС. І одразу - відставка + не_призначеня єдиного міністра, який вводив нові правила гри для закупівель в обронній сфері, які протидіяли монополії та прямим закупівлям. 
--- Я ПРОТИ того щоб рішення приймались на користь корупції, а не інтересів країни
3.. Пройшло всього 6 місяців від призначення, а зроблено було дуже багато, в тч по темам, за які ніхто не хотів братись, бо це важкі теми (як контракти). ---- ЩО БУДЕ З РЕФОРМАМИ ДАЛІ, чому їх треба припиняти посеред їх виконання?",Так,Безумовно так,Важко відповісти,Безумовно так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,7 - Повністю довіряю,2,3,,Важко сказати,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
221,Так,10,2026-08-03 15:43:01,2026-08-03 15:47:04,Так,Так,Так,Жіноча,31,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,Демонстрація невдоволення через рішення влади. Бажання отримати відповідь на здійснення рішення,Ні,Важко відповісти,Точно ні,Скоріше ні,6,6,5,7 - Повністю довіряю,5,7 - Повністю довіряю,"Зараз немає таких, скоріше лідурам думок: Стерненко, видання УП, Третя штурмова",5,"Наскільки погоджуюсь, настільки і не погоджуюсь",0 - Зовсім неприйнятно,Так
222,Так,10,2026-08-03 16:08:17,2026-08-03 16:42:42,Так,Так,Так,Жіноча,40,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Так,Ні,Ні,,Ні,Ні,Так,Так,,Дослідницька,Ні,Точно ні,Важко відповісти,Точно ні,1 - Зовсім не довіряю,1 - Зовсім не довіряю,3,6,5,6,"станом на зараз таких нема, є сорти лайна",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
223,Так,10,2026-08-03 16:45:02,2026-08-03 16:50:24,Так,Так,Так,Жіноча,19,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Так,,Так,Ні,Ні,Ні,,"Висловити свою позицію, коли демократичні процеси не працюють",Так,Безумовно так,Скоріше ні,Скоріше так,3,6,1 - Зовсім не довіряю,6,2,3,"Притула, Совсун",5,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
224,Так,10,2026-08-03 16:45:10,2026-08-03 16:51:28,Так,Так,Так,Чоловіча,20,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,"Мені неясне бажання президента міняти уряд кожні 2 квартали без чітко прокомунікованих на те причин, після очікуваного провалу якого йде медійна кампанія замазати. Потім коло починається знову. Консолідується це питання на Федорові, який хоч і на посаді тільки 6 місяців, питань до його результативності було небагато, відповідно і заміна його в уряді виглядає як залужний 2.0",Ні,Скоріше ні,Точно ні,Точно ні,1 - Зовсім не довіряю,2,2,3,2,3,нікому :),7,"Наскільки погоджуюсь, настільки і не погоджуюсь",1,Так
225,Так,10,2026-08-03 17:01:17,2026-08-03 17:18:24,Так,Так,Так,Жіноча,20,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Так,,Так,Так,Так,Ні,,"Якщо не я, то хто. 
Зняття сирського з посади головкома",Так,Скоріше ні,Точно ні,Скоріше ні,2,4,1 - Зовсім не довіряю,5,Важко сказати,4,"Лозинський, Сибіга",Важко сказати,Зовсім не погоджуюсь,3,Так
226,Так,10,2026-08-03 17:03:12,2026-08-03 17:10:14,Так,Так,Так,Жіноча,21,Львівська,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Львів,Ні,Ні,Ні,Ні,Ні,Ні,"Неаргументоване рішення, відсутність комунікації",Так,Ні,Ні,Так,,"Вийти, щоб проінформувати тих, хто приймають рішення, що вони не проіфнормували нас про причини їх прийняття. І тому, що важливо фіксувати кожну перевірку меж, бо проблема не в контрено НАБу чи Федорові, а в системному порушенні меж. А конституційні межі гірше особистих",Так,Точно ні,Точно ні,Точно ні,2,3,3,Важко сказати,"Не знаю, хто це",Важко сказати,"Цікаво, що саме вимірюється цим питанням, бо міжособистіна довіра не дуже ймовірна загалом, а як до діячів влади я не можу виміряти свою довіру, бо тут певно краще впевненість у надійності. Навіть, якщо так, то такої впевненості немає до когось",3,Зовсім не погоджуюсь,2,Ні
227,Так,10,2026-08-03 17:24:46,2026-08-03 17:44:56,Так,Так,Так,Чоловіча,29,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Так,Ні,Ні,,Шляхом народної демократії досягнути необхідних змін під час військового стану,Так,Скоріше так,Скоріше ні,Скоріше так,2,6,1 - Зовсім не довіряю,7 - Повністю довіряю,2,5,"ймовірно Федоров, Драпатий, Стерненко",4,Зовсім не погоджуюсь,1,Ні
228,Так,10,2026-08-03 17:30:26,2026-08-03 17:34:52,Так,Так,Так,Жіноча,34,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Долучитись для збільшення кількості, щоб продемонструвати владі, яка велика кількість людей невдоволена відсутністю комунікації, прозорості ухвалення рішень",Так,Безумовно так,Скоріше ні,Важко відповісти,1 - Зовсім не довіряю,6,2,6,4,5,Ніяким,1,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
229,Так,10,2026-08-03 17:36:08,2026-08-03 17:41:41,Так,Так,Так,Жіноча,34,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,"Відставка Сирського 
Повернення Федорова 
Обурення через порушення процедур",Ні,Скоріше ні,Точно ні,Скоріше ні,3,4,1 - Зовсім не довіряю,4,"Не знаю, хто це","Не знаю, хто це",Чмут,4,Не погоджуюсь,0 - Зовсім неприйнятно,Так
230,Так,10,2026-08-03 17:48:11,2026-08-03 17:54:40,Так,Так,Так,Чоловіча,40,м. Київ,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Так,Ні,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Протест проти кадрової і внутрішньої політики президента.,Так,Важко відповісти,Точно ні,Важко відповісти,1 - Зовсім не довіряю,6,2,5,3,3,"Федоров, Железняк, Радіна, Рахманін",6,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
231,Так,10,2026-08-03 18:39:41,2026-08-03 18:47:26,Так,Так,Так,Чоловіча,23,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"вплинути на перегляд кадрової політики Президента в бік сучасніших, технологічних рішень та реформаторськи налаштованих людей",Так,Скоріше так,Точно ні,Скоріше ні,2,6,1 - Зовсім не довіряю,6,3,5,"Федоров, Корецький, Железняк",3,Не погоджуюсь,0 - Зовсім неприйнятно,Так
232,Так,10,2026-08-03 20:50:36,2026-08-03 20:56:51,Так,Так,Так,Жіноча,23,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,Побачила новини і ахуєла,Так,Ні,Ні,Ні,,"1. Мені не все одно.
2. Я виходжу не тільки за себе, а і: за мій дім, місто Суми, яке лишилось незахищеним, за мого зниклого безвісти батька, причиною чого є некомпетентне командування.
3. Я хочу бути одним з багатьох голосів, які почують. І причина мого виходу навіть не у Федорові, а у тому, що корупція нас вбʼє швидше за російські ракети. Що некомпетентність нас вбʼє швидше. Що відсутність гуманізму у війську стане нашим кінцем.",Так,Безумовно так,Безумовно так,Безумовно так,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,6,3,3,,5,Не погоджуюсь,0 - Зовсім неприйнятно,Так
233,Так,10,2026-08-03 21:14:32,2026-08-03 21:19:00,Так,Так,Так,Жіноча,24,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Так,Ні,Ні,Так,Ні,Ні,,Так,Ні,Ні,Ні,,Мене дуже вибісили ці незрозумілі та абсолютно непрозорі перестановки в Кабміні і той факт що рішення приймалося лише ОП,Ні,Скоріше ні,Скоріше ні,Скоріше ні,2,3,3,6,4,6,"Железняк, Совсун, Качка",4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
234,Так,10,2026-08-03 21:52:05,2026-08-03 21:55:40,Так,Так,Так,Чоловіча,24,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Киів,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,Можливість зради,Ні,Скоріше ні,Точно ні,Точно ні,5,6,4,6,"Не знаю, хто це","Не знаю, хто це",,Важко сказати,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
235,Ні,8,2026-08-03 22:01:21,2026-08-03 22:06:38,Так,Так,Так,Чоловіча,23,Львівська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Львів,Ні,Так,Так,Ні,Ні,Ні,,Ні,Ні,Так,Ні,,Проти Сирського,Ні,Скоріше ні,Точно ні,Скоріше ні,2,6,2,7 - Повністю довіряю,1 - Зовсім не довіряю,5,Нікому,5,Не погоджуюсь,0 - Зовсім неприйнятно,
236,Так,10,2026-08-03 22:18:54,2026-08-03 22:31:21,Так,Так,Так,Інше,25,Тернопільська,Ні,Ні,Ні,Ні,Ні,Так,Ні,Так,,Тернопіль,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Так,,"хочу прийняти участь у впливі на рішення влади, проявити себе як учасника політичного життя україни, виконати громадянський обов'язок у виявленні своєї думки на рахунок рішень, що приймаються в масштабах країни.",Так,Безумовно так,Скоріше ні,Скоріше ні,4,7 - Повністю довіряю,1 - Зовсім не довіряю,7 - Повністю довіряю,1 - Зовсім не довіряю,1 - Зовсім не довіряю,складно сказати,4,Не погоджуюсь,0 - Зовсім неприйнятно,Так
237,Так,10,2026-08-03 22:22:49,2026-08-03 22:26:58,Так,Так,Так,Жіноча,20,Тернопільська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Тернопіль,Ні,Ні,Ні,Ні,Так,Ні,,Так,Ні,Ні,Ні,,Вернути Федорова,Так,Важко відповісти,Точно ні,Скоріше так,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,2,"Не знаю, хто це","Не знаю, хто це",Інна Совсун,2,Зовсім не погоджуюсь,Важко сказати,Так
238,Так,10,2026-08-03 22:27:43,2026-08-03 22:31:22,Так,Так,Так,Жіноча,19,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Так,Ні,Ні,,зберегти ефктивність зсу та державність України,Так,Безумовно так,Скоріше ні,Скоріше ні,Важко сказати,7 - Повністю довіряю,1 - Зовсім не довіряю,5,Важко сказати,"Не знаю, хто це",Михайлу Федорову,3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
239,Так,10,2026-08-04 03:53:19,2026-08-04 03:57:26,Так,Так,Так,Жіноча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Єдиний спосіб вплинути на владу під час війни,Так,Безумовно так,Скоріше так,Безумовно так,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,7 - Повністю довіряю,4,3,"Совсун, Федоров",8,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
240,Так,10,2026-08-04 11:07:11,2026-08-04 11:13:55,Так,Так,Так,Жіноча,31,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Так,Акаунт в x.com Дмитра Козятинського,"Висловити позицію категоричної незгоди з кадровою політикою вищого політичного керівництва, несистемністю роботи ключових органів, відсутністю прозорої комунікації з громадянським суспільством",Так,Безумовно так,Скоріше ні,Важко відповісти,2,6,1 - Зовсім не довіряю,6,2,4,,5,Не погоджуюсь,1,Так
241,Так,10,2026-08-04 20:06:59,2026-08-04 20:19:50,Так,Так,Так,Жіноча,18,м. Київ,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Так,Ні,,"Висловити незгоду із рішенням президента про звільнення міністра оборони Михайла Федорова і закликати повернути кандидатуру другого на посаду, щоби не дати загальмувати нашу оборону і реалізацію проєктів над якими працювала команда усі минулі місяці",Ні,Точно ні,Скоріше ні,Важко відповісти,3,7 - Повністю довіряю,2,7 - Повністю довіряю,2,5,"Совсун, Федоров",5,Не погоджуюсь,3,Ні
242,Так,10,2026-08-05 10:37:02,2026-08-05 10:47:15,Так,Так,Так,Чоловіча,24,Чернівецька,Ні,Ні,Ні,Ні,Так,Ні,Ні,Так,,Чернівці,Ні,Ні,Так,Ні,Ні,Ні,"Коли звільнили уряд, очікував що будуть протести і моніторив щоб доєднатись.",Так,Ні,Ні,Ні,,"Спровокувати зміни в кадровій політиці, привернути увагу Президента. Відвести курс політики від кулуарної та від такої, що підтримує корупційні механізми. Змусити переглянути звільнення Федорова.",Так,Безумовно так,Точно ні,Скоріше ні,2,6,4,5,2,5,"Федоров, Буданов, Стерненко",3,Не погоджуюсь,2,Так
243,Так,10,2026-08-05 16:55:58,2026-08-05 17:04:55,Так,Так,Так,Жіноча,37,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,"Повернути Михайла Федорова на посаду міністра оборони України. За його каденції міністром оборони я нарешті відчула, що Перемога України вже не обстрактне поняття, а мета з чітким планом.",Так,Безумовно так,Скоріше ні,Безумовно так,2,7 - Повністю довіряю,1 - Зовсім не довіряю,5,Важко сказати,Важко сказати,Нікому,Важко сказати,Не погоджуюсь,0 - Зовсім неприйнятно,Так
244,Ні,7,2026-08-05 19:12:17,2026-08-05 19:14:55,Так,Так,Так,Жіноча,19,Житомирська,Ні,Ні,Так,Ні,Ні,Ні,Ні,Ні,,м. Житомир,Так,Ні,Так,Ні,Ні,Ні,,Ні,Ні,Так,Так,,Впливати на своє майбутнє,Ні,Скоріше так,Скоріше ні,Важко відповісти,,,,,,,,,,,
245,Ні,5,2026-08-05 19:22:06,2026-08-05 19:23:00,Так,Так,Так,Жіноча,22,Київська,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,,,,,,,,,,,,,,,,
246,Так,10,2026-08-05 20:23:32,2026-08-05 20:36:00,Так,Так,Так,Чоловіча,25,Харківська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Харків,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Так,Ні,,Висвітлення внутрішніх проблем держави,Так,Безумовно так,Скоріше ні,Скоріше ні,1 - Зовсім не довіряю,5,1 - Зовсім не довіряю,Важко сказати,2,Важко сказати,"Буданов, Федоров, Терехов, Гололобов, Железняк",6,Зовсім не погоджуюсь,2,Так
247,Так,10,2026-08-05 21:46:05,2026-08-05 21:59:20,Так,Так,Так,Чоловіча,24,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Так,Ні,Ні,Ні,побачив новини,Так,Ні,Ні,Ні,,"спершу повернення Федорова на посаду. зараз це про неадекватність кадрових та інших рішень президента в цілому. вони недоречні в часі (заміни міністра оборони 4 рази за 2 роки це не ок). вони непрозорі – нема жодного діалогу з суспільством – про цілі міністрів, їхні досягнення і проблеми, причини призначень та звільнень. через відсутність комунікації вони видаються зовсім необґрунтованими – чому заміняти людину з успіхами та великою командою на генерала, який був на своєму місці, чому призначати умєрова на посаду МЗР замість потужного генерала, чому призначати медійного Кіма на Мінветеранів замість людей , які живуть у цьому контексті (необовʼязково ветерани до речі). вони одноосібні – парламент і кабмін не бере жодної участі в прийнятті рішень, все робить одна людина. ціль мого виходу на протести – аби рішення перестали бути такими.",Так,Скоріше так,Скоріше так,Скоріше так,1 - Зовсім не довіряю,6,2,6,3,5,"Федорову, Корецькому",6,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
248,Так,10,2026-08-05 22:35:42,2026-08-05 22:42:35,Так,Так,Так,Чоловіча,39,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Так,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,Протест проти свавільної політики Зеленського в умовах боротьби нації за виживання.,Так,Безумовно так,Скоріше ні,Важко відповісти,1 - Зовсім не довіряю,3,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,Важко сказати,"Залужний, Залізняк, Радіна",Важко сказати,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
249,Так,10,2026-08-06 18:51:31,2026-08-06 18:54:56,Так,Так,Так,Жіноча,23,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Так,Так,Ні,Ні,Ні,Ні,,Ні,Так,Ні,Ні,,Домогтись прозорості прийняття рішень на рівні державного керівництва,Ні,Скоріше ні,Точно ні,Скоріше ні,4,3,2,Важко сказати,1 - Зовсім не довіряю,"Не знаю, хто це",Совсун,4,Не погоджуюсь,1,Так
250,Так,10,2026-08-09 21:00:13,2026-08-09 21:17:25,Так,Так,Так,Жіноча,21,м. Київ,Ні,Ні,Так,Ні,Так,Ні,Ні,Ні,,"Київ, Львів, Харків",Так,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Дати владі зрозуміти, що воєнний стан та відсутність виборів через це не дає їм право робити все, що заманеться. Настільки очевидно прикривати корупційні схеми, ставити на високі держ посади за лояльність, а не компетентність. 

Досягти діалогу та того, аби влада визнала свої помилки і чомусь навчилась.",Так,Безумовно так,Скоріше ні,Скоріше ні,3,6,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,5,"Федоров, Драпатий",3,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
251,Так,10,2026-08-09 21:01:01,2026-08-09 21:07:31,Так,Так,Так,Жіноча,23,м. Київ,Ні,Ні,Ні,Ні,Ні,Ні,Ні,Так,,Київ,Ні,Ні,Так,Ні,Ні,Ні,,Так,Ні,Ні,Ні,,"Спершу виразити власну незгоду з кадровими рішеннями, далі — показати, що ми ""не лохи"" і нас багато таких, хто активно переймається долею країни.",Так,Безумовно так,Важко відповісти,Важко відповісти,2,7 - Повністю довіряю,3,7 - Повністю довіряю,3,5,"Іронічно, але багато в чому Безуглій 😁; Федоров, Совсун",7,Не погоджуюсь,7,Так
252,Так,10,2026-08-09 21:10:13,2026-08-09 21:13:48,Так,Так,Так,Жіноча,30,Київська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,Побачила несправделивість,Так,Ні,Ні,Ні,,"Корупція, яка дістала.  Людей адекватних міняють на корупціонерів",Так,Безумовно так,Скоріше ні,Важко відповісти,2,7 - Повністю довіряю,1 - Зовсім не довіряю,6,3,4,,Важко сказати,Зовсім не погоджуюсь,10 - Цілком прийнятно,Так
253,Так,10,2026-08-09 21:11:28,2026-08-09 21:31:00,Так,Так,Так,Жіноча,26,м. Київ,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Київ,Ні,Ні,Ні,Ні,Ні,Ні,"Побачила події які відбулись (звільнення Федорова) побачила про це дописи блогерів, відчула смуток і несправедливість, побачила в тредс що збираються люди і захотіла приєднатись.",Ні,Так,Ні,Ні,З тредс.,"Моя мета: підтримати протести, показати владі, що не погоджуюсь з такими хаотичними кадровими рішеннями. Мене влаштовував пан Федоров на посаді міністра оборони і не влаштовує його звільнення без комунікації і пояснень. Мене непокоїть куди рухається влада і яких цілей вона хоче досягти. Ситуація виглядає так, що президент за корупційні схеми, а не за рух в сторону закінчення війни на наших умовах.",Так,Безумовно так,Скоріше ні,Скоріше ні,3,5,2,5,1 - Зовсім не довіряю,5,"Михайло Федоров, Михайло Драпатий, Дмитро Кулеба, Кирило Буданов",Важко сказати,Не погоджуюсь,1,Ні
254,Так,10,2026-08-09 21:14:33,2026-08-09 21:18:34,Так,Так,Так,Чоловіча,35,Івано-Франківська,Ні,Ні,Ні,Ні,Так,Ні,Ні,Ні,,Івано-Франківськ,Ні,Ні,Ні,Ні,Ні,Ні,Самостійно зробив заклик в соцмережах і досі допомагаю людям організовуватись,Ні,Ні,Ні,Ні,Писав самостійно про це в тредсі,Повернення Федорова і цим сприяння реформам закупівель та плану перемоги,Так,Безумовно так,Скоріше ні,Скоріше так,1 - Зовсім не довіряю,6,1 - Зовсім не довіряю,7 - Повністю довіряю,2,4,Федоров,4,Зовсім не погоджуюсь,0 - Зовсім неприйнятно,Так
